,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
795,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050033,2011-08-23,CON DICTAMEN,HOMICIDIO
796,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050034,2011-08-22,CON DICTAMEN,HOMICIDIO
797,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014501-2010-0031740003,2011-08-17,AUDIENCIA DE APELACION,ABUSO DE AUTORIDAD
798,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050032,2011-08-09,CON DICTAMEN,HOMICIDIO
799,"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",MORADO,PIURA,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PIURA,02606064503-2011-0006680000,2011-07-26,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD (RESAEJECORDENJUDICXFUNCPUB)
800,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014501-2010-0031740002,2011-07-26,AUDIENCIA DE APELACION,ABUSO DE AUTORIDAD
801,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014501-2010-0031740001,2011-07-26,AUDIENCIA DE APELACION,ABUSO DE AUTORIDAD
802,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050031,2011-07-25,CON DICTAMEN,HOMICIDIO
803,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2011-0004930000,2011-07-21,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
804,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050026,2011-07-20,CON DICTAMEN,HOMICIDIO
805,CHAVARRIA VILCATOMA ROBERTO CARLOS,UPP,JUNÍN,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010138-2011-0003580001,2011-07-15,CON DICTAMEN,SECUESTRO
806,"VÁSQUEZ TAN, GRIMALDO",SOMOS PERÚ,AMAZONAS,1 FISCALIA PROVINCIAL PENAL DE BAGUA,01206020606-2010-0000200000,2011-07-13,CON ARCHIVO (CALIFICA),ABUSO DE AUTORIDAD
807,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406094500-2011-0005860000,2011-07-12,CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
808,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306014501-2010-0035320000,2011-07-06,CON SOBRESEIMIENTO,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
809,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA SUPERIOR PENAL,00605010108-2011-0006890001,2011-06-30,CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (ATENTADO CONTRA LA AUTORIDAD)
810,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020613-2010-0008120000,2011-06-28,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
811,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020613-2010-0008110000,2011-06-27,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
812,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050020,2011-06-22,CON DICTAMEN,HOMICIDIO
813,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2011-0006300000,2011-06-21,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
814,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2010-0010560000,2011-06-20,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
815,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020613-2006-0005880003,2011-06-17,CON DICTAMEN,HOMICIDIO
816,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020613-2006-0005880004,2011-06-17,CON DICTAMEN,HOMICIDIO
817,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020613-2006-0005880005,2011-06-17,CON DICTAMEN,HOMICIDIO
818,"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",ACCIÓN POPULAR,ANCASH,20 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010120-2010-0003100000,2011-06-13,ARCHIVO DEFINITIVO,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
819,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA SUPERIOR PENAL,00605010108-2011-0006050001,2011-06-13,CON DICTAMEN,USURPACION (DESTRUCCIONALTERACLIMITES)
820,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050028,2011-06-10,CON DICTAMEN,HOMICIDIO
821,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050029,2011-06-10,CON DICTAMEN,HOMICIDIO
822,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050030,2011-06-10,CON DICTAMEN,HOMICIDIO
823,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050027,2011-06-10,CON DICTAMEN,HOMICIDIO
824,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050024,2011-06-10,CON DICTAMEN,HOMICIDIO
825,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2011-0005300000,2011-06-08,EN CALIFICACION (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
826,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050023,2011-06-06,CON DICTAMEN,HOMICIDIO
827,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050025,2011-06-06,CON DICTAMEN,HOMICIDIO
828,"BARRIONUEVO ROMERO, BETTO",SOMOS PERÚ,ANCASH,FISCALIA PROVINCIAL MIXTA DE SIHUAS,01306160601-2010-0001810000,2011-06-01,DERIVADO,DELITO CONTRA LA ADMINISTRACION DE JUSTICIA
829,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050021,2011-05-31,CON DICTAMEN,HOMICIDIO
830,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050022,2011-05-31,CON DICTAMEN,HOMICIDIO
831,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2010-0007610000,2011-05-30,ARCHIVO DEFINITIVO,VIOLACION DE DOMICILIO (ALLANAMIENTO ILEGAL)
832,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050019,2011-05-26,CON DICTAMEN,HOMICIDIO
833,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",ACCIÓN POPULAR,LIMA,23 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010123-2011-0000050000,2011-05-23,ARCHIVO DEFINITIVO,LESIONES GRAVES (PELIGROINMINENTEDELAVIDA)
834,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",ACCIÓN POPULAR,LIMA,46 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010146-2011-0000400000,2011-05-19,ARCHIVO DEFINITIVO,COACCION
835,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050015,2011-05-19,CON DICTAMEN,HOMICIDIO
836,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050018,2011-05-19,CON DICTAMEN,HOMICIDIO
837,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050017,2011-05-19,CON DICTAMEN,HOMICIDIO
838,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050016,2011-05-19,CON DICTAMEN,HOMICIDIO
839,"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",ACCIÓN POPULAR,ANCASH,32 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010132-2009-0005260000,2011-05-10,ARCHIVO DEFINITIVO,LESIONES (CULPOSAS)
840,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",ACCIÓN POPULAR,LIMA,47 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010147-2010-0005560000,2011-04-15,ARCHIVO DEFINITIVO,USURPACION (DESPOJO)
841,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",ACCIÓN POPULAR,LIMA,46 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010158-2010-0005560000,2011-04-13,DENUNCIA PENDIENTE,APROPIACION ILICITA(BIENMUEBSUMDINER)
842,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306014501-2011-0007090000,2011-03-29,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
843,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",ACCIÓN POPULAR,LIMA,18 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010118-2010-0005040000,2011-03-25,ARCHIVO DEFINITIVO,USURPACION (DESPOJO)
844,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2010-0003320000,2011-03-10,ARCHIVO DEFINITIVO,DISCRIMINACION DE PERSONAS
845,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0008460000,2011-03-10,ARCHIVO DEFINITIVO,PECULADO
846,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020613-2006-0005880002,2011-03-09,CON DICTAMEN,HOMICIDIO
847,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0002710000,2011-03-02,ARCHIVO DEFINITIVO,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
848,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2010-0000420000,2011-02-14,ARCHIVO DEFINITIVO,CONCUSION
849,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020614-2009-0004830000,2011-02-11,CON DICTAMEN,APROPIACION ILICITA(BIENMUEBSUMDINER)
850,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,4 FISCALIA SUPERIOR PENAL DE NCPP DE PIURA,02606010601-2007-0009700002,2011-02-09,AUDIENCIA DE APELACION,ABUSO DE AUTORIDAD
851,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,4 FISCALIA SUPERIOR PENAL DE NCPP DE PIURA,02606010601-2007-0009700001,2011-02-09,AUDIENCIA DE APELACION,ABUSO DE AUTORIDAD
852,"RAMOS ZAPANA, RUBÉN",UPP,PUNO,FISCALIA PROVINCIAL PENAL DE HUANCANÉ,02706064501-2010-0003080000,2011-02-01,CON ARCHIVO (PRELIMINAR),CONTAMINACION Y PROPAGACION (TRAFICO DE PRODUCTOS NOCIVOS)
853,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2010-0028430000,2011-01-31,CON ARCHIVO (PRELIMINAR),DELITOS CONTRA LA VOLUNTAD POPULAR
854,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO LIMA-NORTE,00606020606-2010-0003180000,2011-01-24,ARCHIVO DEFINITIVO,PECULADO (DE USO)
855,"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",ACCIÓN POPULAR,ANCASH,28 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010128-2010-0006600000,2011-01-24,ARCHIVO DEFINITIVO,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
856,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0002800000,2011-01-17,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
857,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606010601-2007-0009700000,2011-01-13,CON SOBRESEIMIENTO (JUZGAMIENTO),ABUSO DE AUTORIDAD
858,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA SUPERIOR PENAL DE LIMA-NORTE,00606020613-2006-0005880001,2011-01-12,CON DICTAMEN,HOMICIDIO
859,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606010601-2005-0011110000,2010-12-28,CON ARCHIVO (PRELIMINAR),ESTAFA (ESTELIONATO)
860,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2010-0024620000,2010-12-15,CON ARCHIVO (PRELIMINAR),DELITOS CONTRA LA FE PUBLICA
861,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2010-0023140000,2010-12-06,CON ARCHIVO (PRELIMINAR),FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA
862,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606010601-2008-0001760000,2010-12-02,CON SOBRESEIMIENTO,CONCUSION (COLUSION ILEGAL)
863,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2010-0024000000,2010-11-24,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
864,"LIZANA SANTOS, MÁRTIRES",FUERZA POPULAR,PIURA,3 FISCALIA SUPERIOR PENAL DE NCPP DE PIURA,02605060103-2010-0000440000,2010-11-23,IMPUGNACION RESUELTA - FISCAL SUPERIOR,VIOLACION DE DOMICILIO
865,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0005340000,2010-11-10,ARCHIVO DEFINITIVO,PECULADO
866,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0009170000,2010-11-09,DERIVADO,DAÑOS
867,"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",ACCIÓN POPULAR,ANCASH,2 FISCALIA PROVINCIAL PREVENCION DEL DELITO,00507010952-2010-0007490000,2010-11-06,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
868,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004190000,2010-11-05,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
869,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0005350000,2010-11-04,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
870,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0008320000,2010-11-04,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
871,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0008330000,2010-11-04,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
872,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2008-0005320000,2010-10-19,CON DICTAMEN,USURPACION
873,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2010-0000450000,2010-10-15,CON RESOLUCION EMITIDA,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
874,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO LIMA-NORTE,00606020607-2010-0001910000,2010-10-06,ARCHIVO DEFINITIVO,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (CONTAMINACION AMBIENTAL)
875,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2010-0014180000,2010-10-05,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
876,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007710000,2010-09-30,DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
877,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007750000,2010-09-30,DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
878,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0008490000,2010-09-30,DENUNCIA PENDIENTE,CONCUSION (PATROCILICITDEINTERPART)
879,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007730000,2010-09-30,DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
880,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007720000,2010-09-30,DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
881,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007700000,2010-09-30,DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
882,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0007740000,2010-09-22,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
883,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004030000,2010-09-15,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
884,"PUÑO LECARNAQUE, NAPOLEÓN",APP,TUMBES,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TUMBES,03506090601-2007-0001040004,2010-09-14,CON DICTAMEN,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
885,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2009-0009780000,2010-09-14,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
886,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004210000,2010-09-13,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
887,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004090000,2010-09-10,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
888,"RAMOS ZAPANA, RUBÉN",UPP,PUNO,FISCALIA PROVINCIAL MIXTA DE SAN ANTONIO DE PUTINA,02706095001-2010-0001980000,2010-09-09,CON ARCHIVO (PRELIMINAR),CONTAMINACION Y PROPAGACION (TRAFICO DE PRODUCTOS NOCIVOS)
889,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020606-2009-0002670000,2010-09-09,ARCHIVO DEFINITIVO,DELITOS AMBIENTALES
890,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004100000,2010-09-06,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
891,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004080000,2010-09-06,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
892,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020606-2009-0004970000,2010-09-03,ARCHIVO DEFINITIVO,CONTRA LA VIDA/EL CUERPO Y LA SALUD
893,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0003870000,2010-09-03,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
894,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0003860000,2010-09-03,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
895,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,2 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020614-2010-0004110000,2010-09-02,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
896,"VÁSQUEZ TAN, GRIMALDO",SOMOS PERÚ,AMAZONAS,FISCALIA SUPERIOR MIXTA DE AMAZONAS,01205017000-2010-0001010000,2010-09-01,CON DICTAMEN,CONTENCIOSO ADMINISTRATIVO
